date,week,team1,team2,score1,score2,538 spread,fd spread
9/6/2018,1,PHI,ATL,18,12,-4.5,1
9/9/2018,1,BAL,BUF,47,3,-4,-7.5
9/9/2018,1,IND,CIN,23,34,0,1
9/9/2018,1,CLE,PIT,21,21,9,3.5
9/9/2018,1,NE,HOU,27,20,-12.5,-6
9/9/2018,1,MIA,TEN,27,20,-1,1
9/9/2018,1,NYG,JAX,15,20,2.5,2.5
9/9/2018,1,NO,TB,40,48,-7,-10
9/9/2018,1,MIN,SF,24,16,-8,-6
9/9/2018,1,LAC,KC,28,38,-1.5,-3.5
9/9/2018,1,CAR,DAL,16,8,-2.5,-2.5
9/9/2018,1,ARI,WSH,6,24,-3,1.5
9/9/2018,1,DEN,SEA,27,24,1,-3
9/9/2018,1,GB,CHI,24,23,-3.5,-6.5
9/10/2018,1,DET,NYJ,17,48,-6,-7
9/10/2018,1,OAK,LAR,13,33,0,6
9/13/2018,2,CIN,BAL,34,23,0,1
9/16/2018,2,ATL,CAR,31,24,-3.5,-5.5
9/16/2018,2,TEN,HOU,20,17,-6,3.5
9/16/2018,2,WSH,IND,9,21,-7.5,-6
9/16/2018,2,GB,MIN,29,29,3,2
9/16/2018,2,BUF,LAC,20,31,-1,7.5
9/16/2018,2,TB,PHI,27,21,3.5,3
9/16/2018,2,NYJ,MIA,12,20,-3,-3
9/16/2018,2,PIT,KC,37,42,-2,-4.5
9/16/2018,2,NO,CLE,21,18,-12,-9.5
9/16/2018,2,SF,DET,30,27,-2,-6
9/16/2018,2,LAR,ARI,34,0,-7,-13.5
9/16/2018,2,JAX,NE,31,20,1.5,2
9/16/2018,2,DEN,OAK,20,19,-4,-5.5
9/16/2018,2,DAL,NYG,20,13,-8,-3
9/17/2018,2,CHI,SEA,24,17,1,-5
9/20/2018,3,CLE,NYJ,21,17,3.5,-3
9/23/2018,3,ATL,NO,37,43,-4.5,1.5
9/23/2018,3,MIN,BUF,6,27,-9,-16.5
9/23/2018,3,MIA,OAK,28,20,-5.5,-2.5
9/23/2018,3,HOU,NYG,22,27,-2.5,-6.5
9/23/2018,3,BAL,DEN,27,14,-5.5,-5.5
9/23/2018,3,KC,SF,38,27,-8.5,-5.5
9/23/2018,3,WSH,GB,31,17,-2,2
9/23/2018,3,JAX,TEN,6,9,-6.5,-10
